Tag Name	Found on Website	Tag URL
YouTube	http://4wayspray.com	https://i.ytimg.com
Google Universal Analytics	http://4wayspray.com	https://www.google-analytics.com
Google Tag Manager	http://4wayspray.com	https://www.googletagmanager.com/gtm.js
Tag Inspector Realtime	http://4wayspray.com	realtime.taginspector
Google Ads Audience Tracker	http://4wayspray.com	www.google.com/ads/ga-audiences
OneTrust	http://4wayspray.com	onetrust.com, cdn.cookielaw.org
DoubleClick	http://abreva.ca	doubleclick.net
Google Web Font	http://abreva.ca	https://fonts.googleapis.com
DoubleClick Floodlight	http://abreva.com	www.googletagmanager.com/gtag
AppNexus	http://abreva.com	https://ib.adnxs.com
The Trade Desk	http://abreva.com	insight.adsrvr.org
Google Authorized Buyers - Cookie Match	http://abreva.com	https://cm.g.doubleclick.net
Verizon Media	http://abreva.com	https://pixel.advertising.com, https://cms.analytics.yahoo.com, https://ups.analytics.yahoo.com, https://ads.yahoo.com
Facebook Pixel	http://abreva.com	www.facebook.com/tr
Gigya	http://abreva.com	https://cdns.gigya.com, https://cdns.us1.gigya.com, https://accounts.us1.gigya.com
Google Optimize	http://advil.com	www.googleoptimize.com
Index Exchange	http://abreva.com	https://ssum-sec.casalemedia.com
Rubicon Project	http://abreva.com	https://token.rubiconproject.com
BidSwitch	http://abreva.com	https://x.bidswitch.net
PubMatic	http://abreva.com	https://image6.pubmatic.com
Fonts.com	http://aquafresh.bg	fast.fonts.net
Cloud.typography	http://aquafresh.bg	https://cloud.typography.com
Facebook Social Plugins	http://advil.com	https://connect.facebook.net
Google Maps	http://abreva.com	https://maps.googleapis.com/maps
Google Ads Conversion	http://abreva.com	www.googleadservices.com/pagead/conversion_async.js
Google Ads Remarketing	http://abreva.com	googleads.g.doubleclick.net
Adobe AudienceManager	http://abreva.com	https://dpm.demdex.net, https://mscom.demdex.net, 
AddThis	http://aquafresh.ca/?iso=en	www.addthis.com
Price Spider	http://abreva.ca	https://cdn.pricespider.com
BlueKai	http://abreva.com	https://tags.bluekai.com
Moat	http://aquafresh.ca/?iso=en	moatads.com
Neustar Aggregate Knowledge	http://abreva.com	https://aa.agkn.com
MediaMath	http://advil.com	pixel.mathtag.com
Google Global Site Tag (gtag.js)	http://abreva.ca	https://www.googletagmanager.com/gtag
DoubleClick Bid Manager	http://aquafresh.cl	
Bazaarvoice	http://abreva.com	bazaarvoice.com
Survata	http://abreva.com	https://px.surveywall-api.survata.com
Roku OneView (DataXu)	http://aquafresh.ca/?iso=en	survata
Centro	http://aquafresh.ca/?iso=fr	centro
TubeMogul	http://aquafresh.ca/?iso=fr	www.tubemogul.com
